CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
STOLEN VEHICLE,08/22/2014 12:30:00 PM,14-042586,VEHICLE THEFT - AUTO,23X,1200 42ND AV,Oakland,CA,"1200 42ND AV
Oakland, CA
(37.771982506000484, -122.21714092799971)"
ROBBERY,08/22/2014 01:55:00 PM,14-042590,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",25X,4400 MACARTHUR BLVD,Oakland,CA,"4400 MACARTHUR BLVD
Oakland, CA
(37.78673325300048, -122.19408939199968)"
STOLEN VEHICLE,08/21/2014 11:59:00 PM,14-042513,VEHICLE THEFT - AUTO,23X,1200 42ND AV,Oakland,CA,"1200 42ND AV
Oakland, CA
(37.771982506000484, -122.21714092799971)"
BURG - RESIDENTIAL,08/22/2014 12:00:00 AM,14-042524,BURGLARY-NO FORCE,27Y,5600 HARMON AV,Oakland,CA,"5600 HARMON AV
Oakland, CA
(37.77034319700044, -122.19716944199968)"
BURG - RESIDENTIAL,08/21/2014 08:00:00 AM,14-042465,BURGLARY-FORCIBLE ENTRY,30Y,8100 HILLSIDE ST,Oakland,CA,"8100 HILLSIDE ST
Oakland, CA
(37.76205944300045, -122.1680547369997)"
MISDEMEANOR ASSAULT,08/23/2014 09:30:00 AM,14-042790,BATTERY,34X,9600 CHERRY ST,Oakland,CA,"9600 CHERRY ST
Oakland, CA
(37.74775037700044, -122.16709219999973)"
STOLEN AND RECOVERED VEHICLE,08/22/2014 08:00:00 PM,14-042789,VEHICLE THEFT - AUTO,12Y,5800 OCEAN VIEW DR,Oakland,CA,"5800 OCEAN VIEW DR
Oakland, CA
(37.84469648600049, -122.24823972399969)"
BURG - RESIDENTIAL,08/20/2014 08:30:00 PM,14-042347,BURGLARY-FORCIBLE ENTRY,23X,1200 37TH AV,Oakland,CA,"1200 37TH AV
Oakland, CA
(37.77417351800045, -122.22157889499971)"
FELONY ASSAULT,08/21/2014 11:18:00 PM,14-042489,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,27Y,5800 ELIZABETH ST,Oakland,CA,"5800 ELIZABETH ST
Oakland, CA
(37.76975737400045, -122.19466132699972)"
DOMESTIC VIOLENCE,08/23/2014 12:00:00 PM,14-042781,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,12Y,5700 TELEGRAPH AV,Oakland,CA,"5700 TELEGRAPH AV
Oakland, CA
(37.84323654400049, -122.2614552439997)"
PETTY THEFT,08/26/2014 07:30:00 AM,14-043224,THEFT,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774240500000474, -122.23027375199968)"
BURG - RESIDENTIAL,08/26/2014 03:15:00 AM,14-043227,BURGLARY-NO FORCE,13Z,1700 INDIAN WY,Oakland,CA,"1700 INDIAN WY
Oakland, CA
(37.83994574100046, -122.20814308499968)"
STOLEN VEHICLE,08/25/2014 09:30:00 PM,14-043228,VEHICLE THEFT - AUTO,32Y,9800 SUNNYSIDE ST,Oakland,CA,"9800 SUNNYSIDE ST
Oakland, CA
(37.74785685600045, -122.1628495439997)"
DOMESTIC VIOLENCE,08/25/2014 09:13:00 PM,14-043229,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,05Y,1600 15TH ST,Oakland,CA,"1600 15TH ST
Oakland, CA
(37.7907385850005, -122.24345890599972)"
